#{"t_start": 1665987903.7519228, "env_id": "DeepRMSA-v0"}
r,l,t,service_blocking_rate,episode_service_blocking_rate,bit_rate_blocking_rate,episode_bit_rate_blocking_rate
22,50,36.544291,0.17504587155963303,0.28,0.2043068291137871,0.3017497523935292
28,50,36.647888,0.17518292682926828,0.22,0.20450268916050146,0.26639726453217283
32,50,36.766673,0.17519756838905776,0.18,0.20453925638617013,0.21620775969962452
36,50,36.88701,0.1750909090909091,0.14,0.20446951117280315,0.17946021731510692
46,50,37.006177,0.17468277945619334,0.04,0.20399601156878294,0.04689521345407503
30,50,37.116733,0.1747590361445783,0.2,0.2041535966644127,0.2534996956786366
34,50,37.230679,0.17471471471471473,0.16,0.2040283000828606,0.16376089663760895
30,50,37.343167,0.17479041916167665,0.2,0.2041164812296118,0.23079170318434122
30,50,37.454347,0.17486567164179104,0.2,0.20425076194351255,0.24818897637795276
26,50,37.577343,0.1750595238095238,0.24,0.20441595646046049,0.2609123728257302
32,50,37.697008,0.17507418397626112,0.18,0.2045108951769691,0.23608017817371937
32,50,37.806924,0.17508875739644972,0.18,0.20444183597662652,0.18043117744610282
28,50,37.912019,0.1752212389380531,0.22,0.2046783237476668,0.28552845528455284
42,50,38.037623,0.17494117647058824,0.08,0.20434899785812566,0.09352058729652091
26,50,38.15237,0.17513196480938417,0.24,0.2045695376725243,0.27666151468315303
40,50,38.2729,0.17491228070175438,0.1,0.20426160206689203,0.1050713634983298
38,50,38.385388,0.17475218658892128,0.12,0.20408161352602672,0.13953488372093023
28,50,38.492786,0.17488372093023255,0.22,0.20429541914766192,0.2729461330123382
24,50,38.59728,0.1751304347826087,0.26,0.2046236840609871,0.31545741324921134
